t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3
4020,-1439319.2,928315.3,-6605009.5,7463.5848,231.98633,-1596.4069,6791839.4,133893.48,-905143.86,1004.2412,-1049.4949,7486.5519,33261.723,-950976.78,6756270.1,-7636.3699,-13.583247,38.662586
4080,-988609.53,940141.13,-6685853.3,7554.4454,162.06351,-1097.396,6836890.1,70671.8,-454259.37,496.84976,-1057.1106,7537.3237,-424652.39,-949657.52,6743379.9,-7621.7236,57.541509,-468.17201
4140,-533464.09,947748.7,-6736600.6,7611.3928,91.430041,-593.56259,6851412.3,7134.5763,-1340.1002,-12.994295,-1060.0085,7554.3467,-880661.03,-944077.01,6700131.9,-7572.8781,128.40603,-972.88426
4200,-75925.524,951104.78,-6757029.2,7634.1888,20.399117,-87.148323,6835327.8,-56434.5,451585.03,-522.98906,-1058.1713,7537.5145,-1332718,-934260.29,6626721.1,-7490.0501,198.69612,-1473.2287
4260,381953.63,950194.94,-6747051.8,7622.7428,-50.714639,419.59625,6788696.7,-119751.36,902485.44,-1030.8281,-1051.6038,7486.8773,-1778794.6,-920251.2,6523476.4,-7373.6037,268.0999,-1966.978
4320,838119.82,945023.66,-6706716.1,7577.1118,-121.59641,924.42027,6711717.5,-182532.87,1349338.3,-1534.2122,-1040.3325,7402.6427,-2216888.2,-902112.2,6390859.7,-7224.0489,336.3091,-2451.9316
4380,1290527.3,935614.29,-6636204.6,7497.5002,-191.93241,1425.0814,6604726,-244498.14,1790137.8,-2030.8606,-1024.406,7285.1743,-2645031.3,-879924.08,6229463.9,-7042.0406,403.02028,-2925.9247
4440,1737147.2,922008.92,-6535834.1,7384.2591,-261.41112,1919.3548,6468194,-305369.86,2222904.8,-2518.5224,-1003.894,7134.9906,-3061299.8,-853785.68,6040010.4,-6828.3761,467.93608,-3386.8374
4500,2175975.7,904268.26,-6406053.8,7237.8851,-329.72449,2405.0415,6302727.3,-364875.53,2645695.7,-2994.9882,-978.88805,6952.7619,-3463821.9,-823813.46,5823346.4,-6583.9927,530.76645,-3832.6035
4560,2605043.4,882471.36,-6247444.1,7059.0192,-396.56921,2879.9778,6109062.5,-422748.77,3056611.6,-3458.1005,-949.49995,6739.3069,-3850786,-790141.05,5580441,-6309.965,591.22994,-4261.2193
4620,3022423.7,856715.29,-6060713.9,6848.4441,-461.6479,3342.0437,5888064.2,-478730.51,3453807.1,-3905.7645,-915.8619,6495.5885,-4220448.9,-752918.65,5312381.7,-6007.5006,649.0549,-4670.7527
4680,3426240.9,827114.74,-5846697.7,6607.0824,-524.67037,3789.1718,5640720.3,-532570.22,3835498.9,-4335.958,-878.12548,6222.7083,-4571144,-712312.45,5020369.4,-5677.9367,703.98074,-5059.3518
4740,3814678.9,793801.61,-5606352.2,6335.9931,-585.35484,4219.3563,5368137.5,-584027,4199973.5,-4746.7411,-836.46094,5921.9012,-4901288.5,-668503.91,4705713.5,-5322.7343,755.75915,-5425.254
4800,4185989.3,756924.37,-5340752.6,6036.3687,-643.4292,4630.6616,5071536.6,-632870.72,4545595.6,-5136.265,-791.05623,5594.5283,-5209390.9,-621689.01,4369826.3,-4943.4736,804.15527,-5766.7942
4860,4538498.8,716647.54,-5051087.6,5709.5304,-698.63219,5021.2313,4752246,-678883.03,4870815.1,-5502.7802,-742.11609,5242.0704,-5494057.9,-572077.34,4014216.7,-4541.8471,848.94891,-6082.4131
4920,4870617.5,673150.93,-4738655,5356.924,-750.71466,5389.2966,4411696.1,-721858.34,5174174.1,-5844.6446,-689.86096,4866.12,-5754001.1,-519891.29,3640484.1,-4119.6531,889.93563,-6370.6653
4980,5180845.6,626628.92,-4404855.6,4980.1139,-799.44072,5733.1849,4051412.3,-761604.73,5454313.5,-6160.3298,-634.52588,4468.3734,-5988042.8,-465364.97,3250310.8,-3678.7878,926.9278,-6630.2271
5040,5467780.6,577289.61,-4051187.7,4580.7777,-844.58893,6051.3281,3673008.3,-797944.81,5709978.8,-6448.428,-576.35935,4050.6224,-6195121.9,-408743.25,2845454.7,-3221.2374,959.75566,-6859.903
5100,5730124,525353.93,-3679240.3,4160.6989,-885.9534,6342.2705,3278178.4,-830716.43,5940025.7,-6707.657,-515.62214,3614.7458,-6374298.9,-350280.61,2427741.4,-2749.0687,988.26819,-7058.633
5160,5966687.2,471054.67,-3290686.1,3721.7596,-923.34488,6604.6765,2868689.9,-859773.48,6143424.9,-6936.8659,-452.58604,3162.7004,-6524760.5,-290240.01,1999056.1,-2264.42,1012.334,-7225.4982
5220,6176397.3,414635.45,-2887274.1,3265.9328,-956.59176,6837.3376,2446375.3,-884986.41,6319266.8,-7135.0385,-387.53263,2696.5121,-6645823.6,-228891.7,1561334.5,-1769.4908,1031.8421,-7359.726
5280,6358302.4,356349.63,-2470822.1,2795.273,-985.54102,7039.1792,2013123.7,-906242.85,6466765.2,-7301.2976,-320.75205,2218.2667,-6736938.7,-166511.93,1116554.3,-1266.531,1046.7024,-7460.6946
5340,6511575.9,296459.17,-2043207.8,2311.9074,-1010.059,7209.2666,1570872.7,-923448.05,6585260.4,-7434.9082,-252.5417,1730.1012,-6797692.5,-103381.75,666725.78,-757.83016,1056.8463,-7527.9368
5400,6635520.9,235233.45,-1606361,1818.0255,-1030.0325,7346.8103,1121599.6,-936525.32,6674222.4,-7535.2791,-183.20497,1234.1941,-6827809.9,-39785.645,213882.69,-245.70624,1062.2274,-7561.1425
5460,6729573.5,172948.03,-1162254.3,1315.8689,-1045.3687,7451.1706,667312.95,-945416.28,6733253,-7601.9662,-113.04997,732.75637,-6827155.5,23989.773,-239927.47,267.50634,1062.8211,-7560.1606
5520,6793305.3,109883.39,-712894.06,807.72036,-1055.9966,7521.8613,210043.37,-950081.18,6762087.3,-7634.6728,-42.388277,228.02244,-6795734.2,87657.083,-692652.9,779.46819,1058.6253,-7524.9999
5580,6826426.3,46323.607,-260311.07,295.89256,-1061.8668,7558.5528,-248165.13,-950499.01,6760594.8,-7633.2514,28.466403,-277.75925,-6733691,150929.41,-1142247.1,1287.8468,1049.6603,-7455.8289
5640,6828785.5,-17444.917,193448.75,-217.2834,-1062.9521,7561.0737,-705264.17,-946667.64,6728780.3,-7597.7039,99.199466,-782.3354,-6641310.5,213521.77,-1586678.6,1790.3282,1035.9685,-7352.9746
5700,6800372.1,-81134.831,646334.02,-729.46969,-1059.2475,7529.4122,-1159210,-938603.8,6666783.6,-7528.1818,169.49671,-1283.4571,-6519015.3,275152.36,-2023940,2284.6284,1017.614,-7216.9207
5760,6741315.6,-144459.15,1096297.4,-1238.3334,-1050.7702,7463.7161,-1607972.4,-926343.01,6574879.2,-7424.9856,239.04563,-1778.8889,-6367363.6,335543.91,-2452057.7,2768.5048,994.68285,-7048.3046
5820,6651884.9,-207132.58,1541305.3,-1741.5583,-1037.5599,7364.2918,-2049543.7,-909939.48,6453475,-7288.5643,307.53669,-2266.4185,-6187047,394424.89,-2869101,3239.7671,967.28173,-6847.9133
5880,6532487.1,-268872.88,1979347,-2236.8563,-1019.6778,7231.6025,-2481947.4,-889465.87,6303110.7,-7119.5137,374.66461,-2743.8655,-5978886.4,451530.85,-3273190.4,3696.2875,935.53783,-6616.679
5940,6383665.7,-329402.13,2408444.5,-2721.9786,-997.2071,7066.2653,-2903247.5,-865012.99,6124455.6,-6918.5746,440.12971,-3209.091,-5743828.5,506605.5,-3662506.9,4136.0109,899.59796,-6355.6738
6000,6206097.2,-388448.03,2826661.2,-3194.7272,-970.25177,6869.048,-3311556.2,-836689.43,5918306,-6686.6305,503.63913,-3660.0071,-5482940.6,559401.98,-4035299.9,4556.9641,859.62769,-6066.1032
6060,6000588.7,-445745.13,3232110.9,-3652.9645,-938.9364,6640.8641,-3705043.4,-804621.11,5685581.6,-6424.7046,564.9082,-4094.5855,-5197405.9,609683.88,-4389894.6,4957.2644,815.81046,-5749.2997
